wage,educ,exper,tenure,female
3.0999999046325684,11,2,0,1
3.240000009536743,12,22,2,1
3.0,11,2,0,0
6.0,8,44,28,0
5.300000190734863,12,7,2,0
8.75,16,9,8,0
11.25,18,15,7,0
5.0,12,5,3,1
3.5999999046325684,12,26,4,1
18.18000030517578,17,22,21,0
6.25,16,8,2,1
8.130000114440918,13,3,0,1
8.770000457763672,12,15,0,0
5.5,12,18,3,0
22.200000762939453,12,31,15,0
17.329999923706055,16,14,0,0
7.5,12,10,0,1
10.630000114440918,13,16,10,1
3.5999999046325684,12,13,0,1
4.5,12,36,6,1
6.880000114440918,12,11,4,1
8.479999542236328,12,29,13,0
6.329999923706055,16,9,9,1
0.5299999713897705,12,3,1,1
6.0,11,37,8,1
9.5600004196167,16,3,3,0
7.78000020980835,16,11,10,0
12.5,16,31,0,0
12.5,15,30,0,0
3.25,8,9,1,1
13.0,14,23,5,0
4.5,14,2,5,1
9.68000030517578,13,16,16,1
5.0,12,7,3,1
4.679999828338623,12,3,0,1
4.269999980926514,16,22,4,1
6.150000095367432,12,15,6,1
3.509999990463257,4,39,15,0
3.0,14,3,3,1
6.25,12,11,0,1
7.809999942779541,12,3,0,1
10.0,12,20,5,1
4.5,14,16,0,1
4.0,11,45,12,1
6.380000114440918,13,11,4,1
13.699999809265137,15,20,13,0
1.6699999570846558,10,1,0,0
2.930000066757202,12,36,2,1
3.650000095367432,14,9,2,0
2.900000095367432,12,15,1,1
1.6299999952316284,12,18,0,1
8.600000381469727,16,3,2,1
5.0,12,15,5,0
6.0,12,7,7,0
2.5,12,2,0,0
3.25,15,3,0,0
3.400000095367432,16,1,1,1
10.0,8,13,0,0
21.6299991607666,18,8,8,1
4.380000114440918,16,7,0,0
11.710000038146973,13,40,20,1
12.390000343322754,14,42,5,0
6.25,10,36,8,0
3.7100000381469727,10,13,0,1
7.78000020980835,14,9,3,0
19.979999542236328,14,26,23,0
6.25,16,7,4,1
10.0,12,25,3,0
5.710000038146973,16,10,5,0
2.0,12,3,2,1
5.710000038146973,16,3,0,1
13.079999923706056,17,17,2,0
4.909999847412109,12,17,8,0
2.9100000858306885,12,20,34,1
3.75,12,7,0,1
11.899999618530272,13,24,19,0
4.0,12,28,0,1
3.0999999046325684,12,2,1,1
8.449999809265137,12,19,13,0
7.139999866485596,18,13,0,0
4.5,9,22,5,0
4.650000095367432,16,3,1,0
2.900000095367432,10,4,0,1
6.670000076293945,12,7,5,0
3.5,12,6,2,1
3.259999990463257,12,13,3,1
3.25,12,14,0,1
8.0,12,14,4,1
9.850000381469728,8,40,24,0
7.5,12,11,7,0
5.909999847412109,12,14,6,0
11.760000228881836,14,40,39,0
3.0,12,1,0,1
4.809999942779541,12,2,0,1
6.5,12,4,1,1
4.0,9,19,1,1
3.5,13,1,0,0
13.15999984741211,12,34,22,0
4.25,14,5,2,0
3.5,12,3,0,0
5.130000114440918,15,6,6,1
3.75,12,14,0,1
4.5,12,35,12,1
7.630000114440918,12,8,4,1
15.0,14,7,7,0
6.849999904632568,15,11,3,1
13.329999923706056,12,14,11,0
6.670000076293945,12,35,10,0
2.5299999713897705,12,46,0,1
9.800000190734863,17,7,0,0
3.369999885559082,11,45,12,0
24.979999542236328,18,29,25,0
5.400000095367432,12,6,3,0
6.110000133514404,14,15,0,0
4.199999809265137,14,33,16,1
3.75,10,15,0,0
3.5,14,5,0,1
3.640000104904175,12,7,2,0
3.799999952316284,15,6,1,0
3.0,8,33,12,1
5.0,16,2,1,1
4.630000114440918,14,4,0,1
3.0,15,1,0,0
3.200000047683716,12,29,0,1
3.910000085830689,18,17,3,0
6.429999828338623,16,17,3,1
5.480000019073486,10,36,3,1
1.5,8,31,30,0
2.900000095367432,10,23,2,1
5.0,11,13,1,0
8.920000076293945,18,3,3,0
5.0,15,15,0,0
3.5199999809265137,12,48,1,0
2.900000095367432,11,6,0,1
4.5,12,12,0,0
2.25,12,5,0,1
5.0,14,19,5,0
10.0,16,9,3,0
3.75,2,39,13,0
10.0,14,28,11,1
10.949999809265137,16,23,20,0
7.900000095367432,12,2,0,0
4.71999979019165,12,15,1,1
5.840000152587891,13,5,0,1
3.829999923706055,12,18,2,1
3.200000047683716,15,2,2,1
2.0,10,3,0,1
4.5,12,31,4,1
11.550000190734863,16,20,5,1
2.140000104904175,13,34,15,1
2.380000114440918,9,5,0,0
3.75,12,11,0,0
5.519999980926514,13,31,3,0
6.5,12,8,5,1
3.0999999046325684,12,2,2,1
10.0,14,18,5,0
6.630000114440918,16,3,0,0
10.0,16,3,2,0
2.309999942779541,9,4,1,1
6.880000114440918,18,4,4,0
2.8299999237060547,10,1,0,0
3.130000114440918,10,1,0,1
8.0,13,28,5,0
4.5,12,47,4,1
8.649999618530273,18,13,1,1
2.0,13,2,6,1
4.75,12,48,2,1
6.25,13,6,5,1
6.0,13,8,0,0
15.380000114440918,13,25,21,0
14.579999923706056,18,13,7,1
12.5,12,8,1,0
5.25,12,19,10,1
2.1700000762939453,13,1,4,1
7.139999866485596,12,43,5,1
6.21999979019165,12,19,9,1
9.0,12,11,5,1
10.0,14,43,4,0
5.769999980926514,10,44,3,0
4.0,12,22,11,1
8.75,16,3,2,0
6.53000020980835,16,3,2,1
7.599999904632568,12,41,11,1
5.0,14,5,0,0
5.0,12,14,11,1
21.86000061035156,12,24,16,0
8.640000343322754,12,28,8,0
3.299999952316284,12,25,8,0
4.440000057220459,12,3,0,0
4.550000190734863,12,11,0,0
3.5,12,7,6,1
6.25,16,9,2,0
3.849999904632568,16,5,0,0
6.179999828338623,14,9,3,1
2.9100000858306885,11,1,0,1
6.25,16,2,1,1
6.25,12,13,0,1
9.050000190734863,12,10,2,0
10.0,17,5,3,0
11.109999656677246,12,30,8,0
6.880000114440918,12,31,19,0
8.75,16,1,2,0
10.0,8,9,0,0
3.049999952316284,12,10,0,1
3.0,12,38,0,1
5.800000190734863,12,19,6,1
4.099999904632568,16,5,0,1
8.0,12,26,2,0
6.150000095367432,12,35,12,1
2.700000047683716,9,2,0,1
2.75,13,1,2,1
3.0,16,19,10,1
3.0,14,3,2,1
7.360000133514404,8,36,24,0
7.5,14,29,24,0
3.5,13,1,2,0
8.100000381469727,12,38,3,1
3.75,18,1,2,0
3.25,9,29,0,0
5.829999923706055,8,36,15,1
3.5,8,4,0,0
3.3299999237060547,12,45,4,1
4.0,14,22,3,1
3.5,12,20,4,1
6.25,16,5,0,0
2.950000047683716,8,15,2,1
5.710000038146973,13,10,2,1
3.0,9,3,0,1
22.86000061035156,16,16,7,0
9.0,12,38,1,0
8.329999923706055,15,33,26,0
3.0,11,2,0,0
5.75,14,6,5,0
6.760000228881836,12,19,3,0
10.0,12,29,0,0
3.0,12,2,0,0
3.5,18,3,1,1
3.25,12,4,0,0
4.0,12,10,1,1
2.9200000762939453,12,4,0,1
3.059999942779541,12,14,10,1
3.200000047683716,12,15,5,1
4.75,12,19,0,0
3.0,14,17,0,1
18.15999984741211,16,29,7,0
3.5,12,2,0,1
4.110000133514404,14,5,0,0
1.9600000381469729,11,38,3,1
4.289999961853027,12,3,0,1
3.0,10,47,0,0
6.449999809265137,12,7,6,0
5.199999809265137,6,47,13,0
4.5,13,23,2,1
3.880000114440918,12,12,3,0
3.450000047683716,10,11,0,1
10.90999984741211,12,25,23,0
4.099999904632568,14,6,0,1
3.0,13,3,1,0
5.900000095367432,12,14,7,0
18.0,18,13,0,1
4.0,12,9,0,0
3.0,12,1,0,0
3.549999952316284,12,6,0,1
3.0,12,11,1,1
8.75,12,47,44,0
2.900000095367432,8,49,6,1
6.260000228881836,13,37,17,1
3.5,13,2,0,1
4.599999904632568,14,7,0,1
6.0,12,22,8,0
2.890000104904175,10,8,0,1
5.579999923706055,16,1,1,0
4.0,12,43,6,1
6.0,16,2,2,0
4.5,12,2,1,1
2.9200000762939453,14,1,3,0
4.329999923706055,18,1,0,0
18.88999938964844,17,26,20,0
4.28000020980835,13,1,1,1
4.570000171661377,14,37,7,1
6.25,15,12,4,1
2.950000047683716,14,41,23,0
8.75,12,24,1,0
8.5,8,38,26,0
3.75,12,18,0,1
3.150000095367432,12,26,1,0
5.0,8,45,2,0
6.460000038146973,12,27,0,0
2.0,9,2,0,0
4.789999961853027,12,41,8,0
5.78000020980835,16,11,4,0
3.180000066757202,12,5,0,1
4.679999828338623,16,3,1,1
4.099999904632568,12,3,2,1
2.9100000858306885,12,4,0,0
6.0,13,21,13,0
3.5999999046325684,10,34,26,1
3.950000047683716,6,49,6,0
7.0,12,6,5,0
3.0,12,26,9,1
6.079999923706055,16,9,0,0
8.630000114440918,12,23,9,0
3.0,8,33,2,0
3.75,12,5,2,1
2.900000095367432,6,49,7,0
3.0,4,48,0,0
6.25,11,35,31,0
3.5,11,23,2,1
3.0,7,26,1,1
3.240000009536743,12,16,0,1
8.020000457763672,18,23,3,1
3.3299999237060547,12,36,8,1
5.25,16,4,0,0
6.25,12,10,0,0
3.5,14,18,2,0
2.950000047683716,12,3,1,0
3.0,10,7,0,1
4.690000057220459,10,7,7,0
3.7300000190734863,9,33,2,1
4.0,10,34,12,0
4.0,12,8,0,1
2.900000095367432,12,17,1,1
3.049999952316284,12,2,0,1
5.050000190734863,10,5,0,1
13.949999809265137,16,41,16,0
18.15999984741211,16,35,28,0
6.25,16,11,4,0
5.25,12,4,0,0
4.789999961853027,12,12,3,1
3.3499999046325684,7,35,0,1
3.0,8,33,0,0
8.430000305175781,16,8,6,0
5.699999809265137,16,2,0,0
11.979999542236328,18,8,10,0
3.5,13,29,1,1
4.239999771118164,10,14,5,0
7.0,16,26,3,1
6.0,14,11,3,1
12.220000267028809,16,10,2,0
4.5,12,13,0,0
3.0,9,23,20,1
2.900000095367432,11,1,2,0
15.0,11,35,31,0
4.0,12,5,2,0
5.25,11,13,11,0
4.0,12,22,3,0
3.299999952316284,12,21,9,1
5.050000190734863,12,19,0,1
3.5799999237060547,12,13,0,0
5.0,14,15,5,0
4.570000171661377,14,3,0,0
12.5,18,6,2,0
3.450000047683716,12,6,5,1
4.630000114440918,12,16,1,1
10.0,12,31,2,0
2.9200000762939453,11,1,0,1
4.510000228881836,12,5,2,0
6.5,17,3,0,0
7.5,16,11,0,0
3.539999961853028,13,6,7,1
4.199999809265137,13,11,3,1
3.509999990463257,12,7,2,1
4.5,14,5,0,0
3.3499999046325684,14,5,4,1
2.9100000858306885,11,2,2,0
5.25,10,44,7,0
4.050000190734863,8,44,25,0
3.75,14,13,0,1
3.400000095367432,12,26,15,1
3.0,10,2,1,1
6.289999961853027,17,10,3,0
2.539999961853028,9,2,0,1
4.5,12,35,0,1
3.130000114440918,12,6,5,1
6.360000133514404,14,8,1,0
4.679999828338623,16,1,0,0
6.800000190734863,12,14,10,0
8.529999732971191,10,14,6,0
4.170000076293945,0,22,10,1
3.75,14,8,4,1
11.100000381469728,15,1,4,1
3.259999990463257,16,15,5,1
9.130000114440918,12,14,12,0
4.5,11,37,10,0
3.0,11,1,1,1
8.75,12,4,4,0
4.139999866485596,13,29,0,1
2.869999885559082,12,45,8,1
3.3499999046325684,13,22,0,1
6.079999923706055,16,42,10,0
3.0,15,9,0,0
4.199999809265137,16,8,0,1
5.599999904632568,15,31,15,1
10.0,12,24,24,0
12.5,18,16,5,0
3.759999990463257,6,6,0,0
3.0999999046325684,6,14,0,1
4.289999961853027,12,47,25,1
10.920000076293944,12,34,5,0
7.5,16,6,2,1
4.050000190734863,9,7,4,1
4.650000095367432,12,27,2,0
5.0,11,24,5,0
2.900000095367432,10,18,0,1
8.0,12,12,3,1
8.430000305175781,8,27,3,0
2.9200000762939453,9,49,0,1
6.25,17,4,0,1
6.25,16,24,2,1
5.110000133514404,11,3,0,0
4.0,10,2,0,1
4.440000057220459,8,29,11,0
6.880000114440918,13,34,21,0
5.429999828338623,14,10,3,0
3.0,13,5,0,1
2.900000095367432,11,2,0,1
6.25,7,39,21,0
4.340000152587891,16,5,2,1
3.25,12,14,2,1
7.260000228881836,13,8,2,0
6.349999904632568,14,10,1,1
5.630000114440918,16,2,2,0
8.75,14,9,3,0
3.200000047683716,11,1,0,0
3.0,8,45,1,1
3.0,14,33,3,1
12.5,17,21,18,0
2.880000114440918,10,2,0,1
3.3499999046325684,12,9,1,0
6.5,12,33,2,0
10.380000114440918,18,16,2,0
4.5,14,10,0,0
10.0,18,9,8,0
3.809999942779541,12,8,1,1
8.800000190734863,16,9,1,0
9.420000076293944,14,23,0,1
6.329999923706055,12,23,8,0
4.0,9,22,18,0
2.900000095367432,12,37,0,1
20.0,12,22,4,0
11.25,17,28,25,0
3.5,12,14,0,1
6.0,15,19,4,1
14.380000114440918,17,10,9,0
6.360000133514404,16,25,0,0
3.549999952316284,12,21,0,1
3.0,15,32,0,0
4.5,16,21,10,0
6.630000114440918,12,36,0,1
9.300000190734863,15,2,2,0
3.0,12,11,0,1
3.25,12,40,2,1
1.5,12,11,1,1
5.900000095367432,12,9,7,1
8.0,16,23,4,0
2.900000095367432,11,1,0,1
3.289999961853028,14,30,13,0
6.5,14,41,33,0
4.0,13,6,0,1
6.0,14,11,0,0
4.079999923706055,12,43,17,1
3.75,12,39,2,1
3.049999952316284,8,50,24,1
3.5,12,26,20,1
